ticker,score_date,physical_raw,physical_norm,physical_confidence,quality_score,quality_confidence,roic_wacc_spread,margin_snr,inflation_convexity,crowding_score,crowding_confidence,etf_correlation,trends_norm,short_pct,composite_score,composite_confidence,mu_estimate,sigma_estimate,kelly_fraction,kelly_25pct,entry_signal,exit_signal,autocorr_delta,absorption_delta,etf_corr_score,short_interest_score,swing_score,swing_confidence,rs_rank,breakout_score,vcp_score
WTRG,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.4211,0.5029,,,,0.0,0.4407,0.0429,,,,False,True,0.0022,0.0,0.0,0.0,0.1814,1.0,0.1394,0.159,0.3104
TECK-B.TO,2026-04-20,1.5,0.999,1.0,0.0,0.75,-0.0373,1.7936,7.2831,0.57,0.4239,,,,0.0,0.8072,0.0385,,,,False,True,0.0673,0.0,0.6624,0.0,0.3991,1.0,0.5625,0.204,0.4625
KLAC,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.4393,0.5029,,,,0.0,0.4949,0.0429,,,,False,True,0.0317,0.0,0.0,0.0,0.5574,1.0,0.8462,0.3966,0.3016
ASML,2026-04-20,1.5,0.999,1.0,1.0,0.75,1.7744,53.3934,0.145,0.4438,0.5029,,,,0.5556,0.8257,0.2096,,,,False,False,0.0119,0.0,0.1503,0.0,0.4718,1.0,0.726,0.3664,0.1743
ITRI,2026-04-20,2.0,0.999,1.0,1.0,0.9167,0.3272,8.787,-0.0883,0.4597,0.4239,,,,0.5398,0.8461,0.2048,,,,False,False,-0.1239,0.0,0.8792,0.0,0.1048,1.0,0.0865,0.0,0.3511
AEE,2026-04-20,1.5,0.999,1.0,0.0133,0.3333,0.0053,,,0.6026,0.4239,,,,0.0053,0.5,0.0445,,,,False,True,0.2307,0.0,0.0048,0.0,0.3028,1.0,0.2404,0.311,0.4111
SSE.L,2026-04-20,1.5,0.999,1.0,0.0,0.75,0.0454,1.4053,-12.4576,0.7662,0.4239,,,,0.0,0.8072,0.031,,,,False,True,0.3224,0.0,0.8742,0.0,0.2429,1.0,0.5529,0.0,0.1087
RWE.DE,2026-04-20,1.5,0.999,1.0,0.1175,0.6667,0.1191,3.0521,12.7794,0.6573,0.4239,,,,0.0402,0.7878,0.0431,,,,False,True,0.2213,0.0,0.4768,0.0,0.3705,1.0,0.5817,0.1769,0.3353
TERNA.MI,2026-04-20,1.5,0.999,1.0,0.0,0.0,,,,0.5,0.0,,,,,0.3233,,,,,False,False,0.0,0.0,0.0,0.0,0.3,0.0,0.5,0.0,0.5
VST,2026-04-20,2.0,0.999,1.0,0.0454,0.3333,0.0182,,,0.4403,0.4239,,,,0.0254,0.5,0.0505,,,,False,True,-0.0358,0.0,0.2411,0.0,0.2426,1.0,0.3894,0.0,0.4341
